,grade,year,points,p1,p2,p3,p4,p5,p6,p7,p8,status,status_eng,region,region_eng,region_id,school
3055,11,2018,22,7,7,1,0,3,4,0,0,участник,participant,Республика Татарстан,Republic of Tatarstan,16.0,Муниципальное бюджетное общеобразовательное учреждение «Гимназия №7 имени Героя России А.В.Козина» Ново-Савиновского района г.Казани
3056,11,2018,22,7,1,0,0,7,7,0,0,участник,participant,Удмуртская Республика,Udmurt republic,18.0,"Муниципальное бюджетное общеобразовательное учреждение ""Физико-математический лицей"", город Глазов"
3057,11,2018,22,3,0,0,0,5,7,7,0,участник,participant,Санкт-Петербург,St. Petersburg,78.0,"Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей № 239"""
3058,11,2018,22,7,7,2,0,0,6,0,0,участник,participant,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1514"""
3059,11,2018,22,7,0,1,7,0,7,0,0,участник,participant,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа Глория"""
3060,11,2018,22,7,7,1,0,7,0,0,0,участник,participant,Санкт-Петербург,St. Petersburg,78.0,Академический лицей «Физико-техническая школа» федерального государственного бюджетного учреждение высшего образования и науки «Санкт-Петербургский национальный исследовательский Академический университет Российской академии наук»
3061,11,2018,21,7,0,0,0,7,7,0,0,участник,participant,Санкт-Петербург,St. Petersburg,78.0,"Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей № 239"""
3062,11,2018,21,0,7,0,0,7,7,0,0,участник,participant,Ярославская область,Yaroslavl region,76.0,муниципальное общеобразовательное учреждение «Гимназия г. Переславля-Залесского»
3063,11,2018,21,5,0,2,0,7,7,0,0,участник,participant,Ярославская область,Yaroslavl region,76.0,муниципальное общеобразовательное учреждение «Гимназия г. Переславля-Залесского»
3064,11,2018,21,7,0,1,0,6,7,0,0,участник,participant,Удмуртская Республика,Udmurt republic,18.0,"Муниципальное бюджетное общеобразовательное учреждение ""Лицей № 18"", город Сарапул"
3065,11,2018,21,7,7,0,0,0,5,0,2,участник,participant,Челябинская область,Chelyabinsk region,74.0,Муниципальное бюджетное общеобразовательное учреждение «Физико-математический лицей № 31 г. Челябинска»
3066,11,2018,20,3,3,0,0,7,7,0,0,участник,participant,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей ""Вторая школа"""
3067,11,2018,20,7,0,1,0,5,7,0,0,участник,participant,Санкт-Петербург,St. Petersburg,78.0,"Государственное бюджетное общеобразовательное учреждение лицей № 533 ""Образовательный комплекс ""Малая Охта"" Красногвардейского района Санкт-Петербурга"
